order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,delivery_status,shipping_cost
428,DTDC,TRK8706626682,2022-03-10,2022-03-13,2022-03-14,Delivered,81.13
429,DTDC,TRK1719553560,2023-12-04,2023-12-11,2023-12-13,Delivered,46.99
432,BlueDart,TRK3319036890,2023-04-19,2023-04-25,,Shipped,153.98
435,DTDC,TRK0301027240,2023-02-20,2023-02-23,2023-02-25,Delivered,119.38
436,FedEx India,TRK5593429671,2023-07-05,2023-07-10,2023-07-09,Delivered,70.31
437,Ekart,TRK1148375374,2024-02-06,2024-02-10,2024-02-09,Delivered,224.82
438,Ekart,TRK5843845881,2023-05-31,2023-06-07,2023-06-08,Delivered,90.03
440,BlueDart,TRK0569741328,2023-11-11,2023-11-16,2023-11-15,Delivered,216.08
441,FedEx India,TRK3483152037,2024-02-05,2024-02-12,2024-02-15,Delivered,57.98
442,DTDC,TRK7107044964,2022-05-31,2022-06-05,2022-06-08,Delivered,44.14
443,FedEx India,TRK1049670667,2022-01-13,2022-01-16,2022-01-18,Delivered,40.25
444,BlueDart,TRK0336268040,2022-01-09,2022-01-15,2022-01-17,Delivered,223.17
445,BlueDart,TRK8509549305,2022-03-31,2022-04-04,2022-04-03,Delivered,140.7
446,BlueDart,TRK9660186487,2022-12-22,2022-12-25,2022-12-27,Delivered,213.67
447,FedEx India,TRK6998426732,2022-06-16,2022-06-20,2022-06-20,Delivered,129.18
448,DTDC,TRK0441384596,2022-05-01,2022-05-06,2022-05-08,Delivered,165.39
450,BlueDart,TRK0945449014,2022-03-19,2022-03-23,2022-03-24,Delivered,126.58
451,FedEx India,TRK9542770707,2024-01-16,2024-01-19,2024-01-18,Delivered,47.35
452,BlueDart,TRK0578360914,2023-11-04,2023-11-07,2023-11-09,Delivered,50.71
453,Delhivery,TRK9851724447,2022-07-20,2022-07-27,2022-07-28,Delivered,45.9
454,Ekart,TRK2322903102,2022-11-11,2022-11-16,,Shipped,50.09
455,Delhivery,TRK8795083044,2024-04-10,2024-04-15,2024-04-18,Delivered,139.45
458,BlueDart,TRK0580935118,2024-06-20,2024-06-27,2024-06-27,Delivered,46.88
459,DTDC,TRK7181335956,2023-05-17,2023-05-21,2023-05-24,Delivered,229.26
460,DTDC,TRK1642059556,2024-05-13,2024-05-20,2024-05-23,Delivered,139.41
461,FedEx India,TRK5749025042,2022-09-30,2022-10-05,,Shipped,174.4
463,DTDC,TRK9019358895,2023-08-18,2023-08-23,2023-08-26,Delivered,222.08
464,Delhivery,TRK3690261139,2023-07-22,2023-07-27,2023-07-28,Delivered,214.6
465,FedEx India,TRK8986818097,2022-06-04,2022-06-08,2022-06-10,Delivered,179.25
467,BlueDart,TRK8875439435,2022-04-06,2022-04-11,2022-04-11,Delivered,51.79
469,Delhivery,TRK3537513765,2023-06-13,2023-06-18,2023-06-17,Delivered,113.34
470,Ekart,TRK1588157937,2023-08-05,2023-08-10,,Shipped,48.26
471,FedEx India,TRK6392836929,2023-01-04,2023-01-08,2023-01-08,Delivered,136.3
472,DTDC,TRK4455116682,2023-01-15,2023-01-21,2023-01-23,Delivered,207.21
473,FedEx India,TRK9732702164,2024-03-24,2024-03-31,2024-04-03,Delivered,133.93
474,Ekart,TRK8712060212,2022-02-18,2022-02-24,2022-02-23,Delivered,215.87
475,DTDC,TRK8866526834,2023-06-20,2023-06-26,,Shipped,201.03
476,FedEx India,TRK1559991015,2023-08-18,2023-08-25,2023-08-24,Delivered,207.99
477,BlueDart,TRK7676472298,2023-01-12,2023-01-19,2023-01-21,Delivered,148.4
478,FedEx India,TRK1209957657,2022-08-19,2022-08-24,2022-08-27,Delivered,168.58
480,Delhivery,TRK2894134750,2022-05-24,2022-05-28,2022-05-29,Delivered,145.7
481,Ekart,TRK9889864565,2022-10-17,2022-10-20,2022-10-21,Delivered,133.28
483,FedEx India,TRK2203684995,2022-12-07,2022-12-10,,Shipped,158.64
484,Ekart,TRK1542144773,2022-08-07,2022-08-13,2022-08-13,Delivered,78.36
485,FedEx India,TRK2449134213,2022-09-08,2022-09-13,2022-09-13,Delivered,244.54
486,BlueDart,TRK8820908830,2023-10-08,2023-10-11,2023-10-10,Delivered,59.01
488,BlueDart,TRK7053496782,2023-08-04,2023-08-11,,Shipped,118.11
490,FedEx India,TRK7411767412,2024-06-10,2024-06-15,2024-06-17,Delivered,182.26
492,Delhivery,TRK4151315285,2022-10-01,2022-10-08,2022-10-09,Delivered,165.26
493,DTDC,TRK4781506185,2023-09-04,2023-09-08,2023-09-09,Delivered,213.62
494,DTDC,TRK3800329633,2022-04-23,2022-04-30,2022-04-30,Delivered,50.99
495,FedEx India,TRK4727274231,2023-12-05,2023-12-09,2023-12-10,Delivered,185.57
497,DTDC,TRK8306178932,2023-06-30,2023-07-03,2023-07-03,Delivered,71.04
499,DTDC,TRK0649693578,2024-03-06,2024-03-10,,Shipped,112.69
500,Ekart,TRK2434776958,2024-06-17,2024-06-21,2024-06-20,Delivered,110.34
501,FedEx India,TRK7413146753,2024-04-03,2024-04-10,2024-04-10,Delivered,212.75
503,Delhivery,TRK6127515627,2022-05-20,2022-05-27,2022-05-26,Delivered,190.83
504,Ekart,TRK7963044836,2022-10-19,2022-10-24,2022-10-26,Delivered,244.07
505,Ekart,TRK0854566766,2022-01-09,2022-01-16,,Shipped,98.81
506,Delhivery,TRK4047350476,2023-06-19,2023-06-22,2023-06-23,Delivered,76.65
507,Ekart,TRK3928319952,2022-11-22,2022-11-25,2022-11-27,Delivered,191.42
508,DTDC,TRK9800615581,2023-08-26,2023-09-01,2023-09-01,Delivered,56.93
509,FedEx India,TRK0835832863,2023-09-20,2023-09-26,2023-09-26,Delivered,144.8
510,FedEx India,TRK4255638300,2023-03-01,2023-03-06,2023-03-07,Delivered,208.13
511,DTDC,TRK0818670244,2023-07-28,2023-08-03,2023-08-05,Delivered,221.5
513,FedEx India,TRK0330416624,2024-06-06,2024-06-13,,Shipped,148.88
515,DTDC,TRK1118600892,2024-03-17,2024-03-24,2024-03-27,Delivered,150.19
516,Ekart,TRK1963945680,2023-12-27,2024-01-01,2024-01-02,Delivered,109.17
517,BlueDart,TRK4473149764,2024-04-05,2024-04-10,2024-04-09,Delivered,89.48
518,FedEx India,TRK6136847488,2023-03-23,2023-03-30,2023-03-30,Delivered,191.63
519,BlueDart,TRK3607658173,2023-09-19,2023-09-23,2023-09-25,Delivered,248.89
520,DTDC,TRK9063757914,2023-09-24,2023-09-29,,Shipped,242.14
522,BlueDart,TRK5211823793,2022-01-12,2022-01-18,2022-01-19,Delivered,179.33
523,Delhivery,TRK1269789307,2022-10-23,2022-10-30,2022-10-30,Delivered,92.75
524,Delhivery,TRK4645205996,2022-08-29,2022-09-05,,Shipped,45.72
525,DTDC,TRK0438787535,2023-11-04,2023-11-11,2023-11-12,Delivered,205.4
526,Ekart,TRK7788116162,2024-03-12,2024-03-16,2024-03-18,Delivered,190.94
527,DTDC,TRK0281237106,2022-07-27,2022-07-30,2022-07-29,Delivered,246.05
528,Delhivery,TRK7287286604,2022-04-06,2022-04-12,2022-04-12,Delivered,188.1
529,Ekart,TRK1644859592,2023-08-21,2023-08-27,2023-08-26,Delivered,178.02
530,Ekart,TRK2483958947,2022-07-22,2022-07-27,2022-07-30,Delivered,46.35
531,Delhivery,TRK7352287056,2022-06-30,2022-07-03,2022-07-05,Delivered,47.38
532,Delhivery,TRK2271043318,2022-10-31,2022-11-05,2022-11-05,Delivered,92.1
534,DTDC,TRK7510979215,2023-01-24,2023-01-28,2023-01-30,Delivered,54.16
535,Ekart,TRK8350344694,2024-03-08,2024-03-12,2024-03-13,Delivered,102.63
536,BlueDart,TRK5964883192,2022-01-31,2022-02-04,2022-02-03,Delivered,207.96
538,BlueDart,TRK1342491289,2022-11-21,2022-11-24,2022-11-24,Delivered,154.16
540,FedEx India,TRK6599949732,2023-11-23,2023-11-30,,Shipped,217.96
541,DTDC,TRK0331922270,2022-07-04,2022-07-11,2022-07-10,Delivered,230.3
542,FedEx India,TRK5102876754,2022-10-04,2022-10-09,2022-10-10,Delivered,112.81
543,Ekart,TRK8138666754,2022-07-16,2022-07-23,2022-07-25,Delivered,119.11
544,BlueDart,TRK8581932426,2024-06-14,2024-06-19,2024-06-20,Delivered,56.78
545,Delhivery,TRK8774186520,2024-05-07,2024-05-14,,Shipped,182.94
546,Delhivery,TRK5756398365,2022-03-24,2022-03-28,,Shipped,55.97
548,FedEx India,TRK2037583094,2023-10-01,2023-10-08,2023-10-11,Delivered,120.06
550,FedEx India,TRK5154809404,2024-02-09,2024-02-14,2024-02-17,Delivered,97.23
552,Ekart,TRK7604409079,2024-06-03,2024-06-10,,Shipped,150.45
553,FedEx India,TRK7727810509,2023-12-18,2023-12-25,2023-12-28,Delivered,227.02
554,BlueDart,TRK2221610705,2023-11-24,2023-11-30,2023-11-29,Delivered,108.95
556,Delhivery,TRK1843905529,2022-10-04,2022-10-07,2022-10-07,Delivered,216.34
557,DTDC,TRK5806601382,2023-05-29,2023-06-05,2023-06-08,Delivered,222.08
560,BlueDart,TRK4127049386,2024-01-10,2024-01-14,2024-01-14,Delivered,196.62
561,Ekart,TRK2044851579,2023-01-27,2023-02-02,2023-02-04,Delivered,149.82
562,Delhivery,TRK1971112125,2022-01-11,2022-01-17,2022-01-19,Delivered,154.48
563,Ekart,TRK9020357134,2024-05-21,2024-05-28,,Shipped,187.51
564,DTDC,TRK3240642429,2023-05-15,2023-05-21,2023-05-21,Delivered,151.13
565,DTDC,TRK5633432447,2023-02-13,2023-02-17,2023-02-17,Delivered,41.32
566,DTDC,TRK4175955872,2022-09-20,2022-09-27,2022-09-27,Delivered,214.54
567,FedEx India,TRK0962893654,2022-12-10,2022-12-13,2022-12-15,Delivered,78.22
568,Ekart,TRK3588418343,2024-04-10,2024-04-14,2024-04-15,Delivered,173.92
569,Ekart,TRK7401827279,2024-06-10,2024-06-15,,Shipped,140.87
570,Delhivery,TRK5596905150,2023-10-30,2023-11-03,,Shipped,80.5
571,Ekart,TRK2675512542,2023-01-01,2023-01-07,2023-01-06,Delivered,51.75
574,FedEx India,TRK7820797996,2022-12-13,2022-12-18,2022-12-21,Delivered,114.86
575,DTDC,TRK6734595764,2022-03-17,2022-03-21,2022-03-20,Delivered,237.72
576,DTDC,TRK0381664969,2023-11-01,2023-11-05,2023-11-05,Delivered,155.66
578,BlueDart,TRK0282498392,2023-04-08,2023-04-13,2023-04-13,Delivered,205.62
579,Ekart,TRK2501425762,2024-01-19,2024-01-23,2024-01-24,Delivered,111.86
580,Delhivery,TRK7023244123,2024-02-09,2024-02-16,2024-02-19,Delivered,192.55
582,Ekart,TRK3613285072,2024-03-03,2024-03-09,2024-03-11,Delivered,176.34
583,FedEx India,TRK5178637673,2022-06-10,2022-06-13,2022-06-15,Delivered,140.1
584,DTDC,TRK1625265469,2024-01-29,2024-02-01,2024-02-02,Delivered,205.63
585,DTDC,TRK6815790392,2024-05-11,2024-05-16,2024-05-18,Delivered,222.58
587,Ekart,TRK3555809961,2022-10-07,2022-10-14,2022-10-16,Delivered,216.7
588,Ekart,TRK3273034615,2023-07-09,2023-07-16,2023-07-15,Delivered,102.37
590,Delhivery,TRK6262446704,2023-07-04,2023-07-09,2023-07-11,Delivered,144.89
591,BlueDart,TRK6226817151,2024-04-05,2024-04-09,2024-04-09,Delivered,170.96
592,Ekart,TRK6025298670,2022-06-12,2022-06-16,2022-06-17,Delivered,154.32
593,DTDC,TRK7660464197,2024-05-20,2024-05-27,2024-05-29,Delivered,232.78
596,Delhivery,TRK8575851268,2023-07-17,2023-07-20,2023-07-22,Delivered,227.15
597,FedEx India,TRK6120594389,2023-02-12,2023-02-19,2023-02-20,Delivered,237.4
598,BlueDart,TRK7607401775,2024-05-01,2024-05-06,2024-05-06,Delivered,128.57
599,FedEx India,TRK0954654084,2022-09-05,2022-09-11,2022-09-10,Delivered,173.6
600,BlueDart,TRK2456075409,2022-10-08,2022-10-12,2022-10-11,Delivered,57.88
601,BlueDart,TRK1508632181,2023-02-28,2023-03-04,2023-03-07,Delivered,147.45
602,DTDC,TRK2276457938,2022-04-25,2022-05-02,,Shipped,144.75
603,DTDC,TRK9701550291,2023-10-01,2023-10-08,2023-10-08,Delivered,92.03
604,FedEx India,TRK6815466024,2023-07-05,2023-07-12,2023-07-11,Delivered,107.3
605,BlueDart,TRK1613944988,2024-01-04,2024-01-07,2024-01-10,Delivered,181.47
606,Delhivery,TRK3059736424,2022-01-18,2022-01-22,2022-01-22,Delivered,135.98
607,DTDC,TRK8096244063,2024-03-31,2024-04-06,2024-04-08,Delivered,44.45
608,BlueDart,TRK0624479513,2022-02-04,2022-02-08,2022-02-11,Delivered,201.06
609,FedEx India,TRK3053194979,2023-02-08,2023-02-14,2023-02-15,Delivered,167.71
610,Ekart,TRK6958678055,2024-05-13,2024-05-19,2024-05-22,Delivered,180.24
611,Ekart,TRK5572773826,2024-02-28,2024-03-05,,Shipped,111.53
612,Ekart,TRK4609178513,2022-09-14,2022-09-21,,Shipped,117.88
613,Delhivery,TRK8544577029,2024-03-01,2024-03-06,2024-03-07,Delivered,228.28
614,BlueDart,TRK9295966048,2023-02-06,2023-02-12,,Shipped,68.14
615,Ekart,TRK7368269116,2023-10-09,2023-10-12,,Shipped,103.08
616,Ekart,TRK3319422686,2022-05-08,2022-05-11,2022-05-14,Delivered,87.09
617,Ekart,TRK5369455158,2024-06-28,2024-07-03,2024-07-03,Delivered,195.2
618,FedEx India,TRK8863677472,2022-08-31,2022-09-03,,Shipped,237.9
619,BlueDart,TRK2640857216,2022-10-13,2022-10-20,2022-10-20,Delivered,202.72
620,FedEx India,TRK9666309329,2022-02-15,2022-02-20,2022-02-19,Delivered,223.47
621,Ekart,TRK9819960593,2022-06-11,2022-06-15,2022-06-14,Delivered,102.87
622,Ekart,TRK2971509688,2022-04-06,2022-04-11,,Shipped,189.21
623,Delhivery,TRK3275327352,2023-10-04,2023-10-07,2023-10-07,Delivered,48.48
626,DTDC,TRK4103977397,2024-01-23,2024-01-29,2024-02-01,Delivered,225.16
627,FedEx India,TRK3278195237,2022-05-19,2022-05-22,2022-05-25,Delivered,193.44
628,Ekart,TRK1006876164,2023-07-28,2023-08-02,2023-08-01,Delivered,79.6
629,BlueDart,TRK8198077046,2022-07-14,2022-07-18,2022-07-18,Delivered,191.93
631,Delhivery,TRK0568761124,2022-06-09,2022-06-14,2022-06-15,Delivered,42.02
633,BlueDart,TRK9125652373,2024-06-26,2024-06-30,2024-07-02,Delivered,89.05
634,BlueDart,TRK4151773454,2022-11-28,2022-12-03,,Shipped,58.95
635,Delhivery,TRK7574949022,2023-02-04,2023-02-07,2023-02-08,Delivered,190.87
636,FedEx India,TRK8403595442,2022-06-09,2022-06-15,,Shipped,160.05
637,DTDC,TRK9477422294,2022-04-27,2022-04-30,2022-04-29,Delivered,99.29
638,Delhivery,TRK6430394290,2022-05-16,2022-05-21,2022-05-20,Delivered,68.62
639,BlueDart,TRK4588679252,2022-07-17,2022-07-22,2022-07-23,Delivered,125.39
640,BlueDart,TRK9858567287,2023-11-08,2023-11-15,2023-11-14,Delivered,240.51
641,FedEx India,TRK2760153433,2022-02-21,2022-02-26,2022-02-26,Delivered,95.02
642,Delhivery,TRK2491357790,2022-08-05,2022-08-10,,Shipped,139.33
643,Delhivery,TRK8335061581,2022-03-05,2022-03-12,2022-03-15,Delivered,130.81
644,Delhivery,TRK4888107983,2024-04-23,2024-04-29,2024-05-02,Delivered,127.36
645,BlueDart,TRK3423372094,2022-10-02,2022-10-06,2022-10-07,Delivered,212.07
647,FedEx India,TRK8413128403,2022-08-26,2022-08-30,2022-08-29,Delivered,202.39
648,Delhivery,TRK3399771805,2022-09-13,2022-09-17,2022-09-20,Delivered,57.55
649,Ekart,TRK1371717318,2023-03-03,2023-03-06,,Shipped,100.9
650,FedEx India,TRK9397490961,2023-04-18,2023-04-21,,Shipped,74.18
651,FedEx India,TRK7399704694,2024-03-25,2024-03-28,2024-03-31,Delivered,154.46
652,DTDC,TRK7258784448,2022-06-14,2022-06-17,2022-06-20,Delivered,119.77
653,FedEx India,TRK3548847127,2022-11-21,2022-11-26,2022-11-26,Delivered,79.53
654,BlueDart,TRK0587722164,2024-02-23,2024-03-01,,Shipped,222.46
655,Delhivery,TRK1758231334,2023-08-03,2023-08-07,2023-08-06,Delivered,180.85
656,Delhivery,TRK8458714939,2024-02-04,2024-02-10,2024-02-13,Delivered,192.68
657,Delhivery,TRK2523622925,2022-01-02,2022-01-08,,Shipped,241.41
661,Ekart,TRK8796434745,2023-08-11,2023-08-17,2023-08-19,Delivered,51.31
662,Delhivery,TRK2455574696,2022-05-25,2022-05-28,2022-05-30,Delivered,57.87
663,BlueDart,TRK6060652740,2024-04-13,2024-04-20,2024-04-23,Delivered,59.37
664,Ekart,TRK3344505665,2022-08-14,2022-08-20,,Shipped,101.02
665,Delhivery,TRK8833987411,2022-06-28,2022-07-01,2022-07-01,Delivered,191.66
666,Ekart,TRK3257970673,2022-04-09,2022-04-13,2022-04-14,Delivered,240.06
667,DTDC,TRK4996010548,2023-08-17,2023-08-22,2023-08-24,Delivered,45.84
671,DTDC,TRK5741721562,2022-02-26,2022-03-03,2022-03-06,Delivered,139.7
672,Delhivery,TRK2949381735,2022-06-05,2022-06-08,2022-06-10,Delivered,135.29
673,BlueDart,TRK9848840215,2023-11-23,2023-11-29,,Shipped,71.93
674,Delhivery,TRK5732573755,2023-09-04,2023-09-08,2023-09-07,Delivered,122.82
675,BlueDart,TRK3449021666,2024-03-19,2024-03-25,2024-03-28,Delivered,192.9
676,DTDC,TRK7080850960,2023-08-12,2023-08-15,,Shipped,106.25
677,Delhivery,TRK8587495119,2023-02-14,2023-02-18,2023-02-21,Delivered,168.53
678,BlueDart,TRK1818281979,2023-05-09,2023-05-15,2023-05-17,Delivered,222.63
679,DTDC,TRK3164772512,2022-07-21,2022-07-26,2022-07-29,Delivered,167.58
680,Delhivery,TRK9578606940,2022-03-18,2022-03-24,2022-03-26,Delivered,184.15
681,DTDC,TRK9600356243,2023-08-16,2023-08-20,2023-08-20,Delivered,85.82
682,Ekart,TRK9587395923,2022-12-24,2022-12-27,2022-12-29,Delivered,62.7
683,BlueDart,TRK2342108902,2024-03-02,2024-03-05,2024-03-04,Delivered,161.8
684,Delhivery,TRK8515533342,2023-03-31,2023-04-03,,Shipped,157.48
685,BlueDart,TRK6433502716,2022-08-29,2022-09-02,2022-09-02,Delivered,102.63
686,Ekart,TRK0736077633,2024-05-25,2024-05-30,2024-06-02,Delivered,203.45
688,FedEx India,TRK6911289812,2024-04-05,2024-04-12,2024-04-15,Delivered,155.93
689,Ekart,TRK3179556331,2022-08-06,2022-08-10,,Shipped,91.12
690,Delhivery,TRK8574817006,2024-02-11,2024-02-14,2024-02-17,Delivered,143.51
691,Delhivery,TRK6615541643,2023-12-16,2023-12-21,,Shipped,231.8
692,Ekart,TRK1670450232,2023-11-14,2023-11-19,2023-11-22,Delivered,238.57
696,BlueDart,TRK9028227009,2022-01-22,2022-01-27,2022-01-26,Delivered,84.43
698,Ekart,TRK3459626228,2024-06-09,2024-06-15,2024-06-14,Delivered,242.41
699,FedEx India,TRK2251207346,2023-04-17,2023-04-21,2023-04-21,Delivered,129.96
700,Delhivery,TRK5495005070,2023-06-30,2023-07-04,2023-07-07,Delivered,189.19
701,Delhivery,TRK2608698221,2022-01-21,2022-01-28,2022-01-28,Delivered,70.53
703,Delhivery,TRK0531611776,2023-10-06,2023-10-09,2023-10-08,Delivered,94.2
705,FedEx India,TRK8729047742,2023-02-09,2023-02-14,,Shipped,132.18
706,Ekart,TRK5859177932,2023-11-28,2023-12-04,,Shipped,128.43
707,Ekart,TRK3822311649,2022-09-07,2022-09-13,2022-09-15,Delivered,238.18
708,BlueDart,TRK1334245798,2023-09-13,2023-09-19,2023-09-19,Delivered,143.13
709,DTDC,TRK8942565290,2022-05-23,2022-05-26,2022-05-28,Delivered,87.88
710,DTDC,TRK6032020326,2022-05-24,2022-05-29,2022-05-29,Delivered,160.77
711,FedEx India,TRK5097753967,2022-05-21,2022-05-24,2022-05-23,Delivered,94.63
712,Ekart,TRK3794871485,2022-06-13,2022-06-16,2022-06-19,Delivered,61.72
713,FedEx India,TRK5245787158,2022-05-04,2022-05-07,2022-05-08,Delivered,132.28
715,DTDC,TRK4156082137,2023-03-31,2023-04-05,,Shipped,189.38
718,BlueDart,TRK1184254768,2023-09-21,2023-09-24,2023-09-26,Delivered,153.19
719,Delhivery,TRK1826832303,2023-01-04,2023-01-09,2023-01-11,Delivered,232.66
720,Delhivery,TRK5892988085,2023-09-14,2023-09-17,2023-09-16,Delivered,148.44
721,Ekart,TRK8382521293,2023-02-03,2023-02-06,2023-02-07,Delivered,111.76
722,DTDC,TRK2896340646,2022-02-05,2022-02-10,2022-02-11,Delivered,76.84
723,Ekart,TRK8677524014,2023-03-02,2023-03-06,2023-03-08,Delivered,146.38
724,Ekart,TRK8439910622,2022-07-30,2022-08-05,2022-08-07,Delivered,58.8
725,Ekart,TRK7236266933,2023-12-07,2023-12-11,2023-12-12,Delivered,224.23
727,FedEx India,TRK5134261923,2024-01-11,2024-01-16,2024-01-17,Delivered,248.29
728,Delhivery,TRK7245018481,2023-09-03,2023-09-09,2023-09-11,Delivered,46.02
729,DTDC,TRK9737418972,2022-02-10,2022-02-13,2022-02-12,Delivered,166.2
731,Delhivery,TRK1540641769,2024-01-26,2024-01-30,2024-01-30,Delivered,144.27
732,DTDC,TRK2743811995,2022-02-21,2022-02-28,2022-03-02,Delivered,207.97
736,DTDC,TRK3766014448,2022-04-28,2022-05-02,2022-05-01,Delivered,176.84
737,Delhivery,TRK5645101739,2023-07-17,2023-07-21,2023-07-23,Delivered,207.55
738,Ekart,TRK7396417899,2022-07-06,2022-07-11,2022-07-10,Delivered,237.88
739,FedEx India,TRK6986091919,2023-04-14,2023-04-20,2023-04-19,Delivered,245.77
741,FedEx India,TRK1135996605,2022-04-28,2022-05-03,,Shipped,46.17
742,Ekart,TRK7798066039,2023-12-29,2024-01-01,2024-01-03,Delivered,183.42
743,DTDC,TRK2051460745,2023-01-24,2023-01-31,2023-01-30,Delivered,54.62
744,FedEx India,TRK5534705742,2022-12-13,2022-12-18,2022-12-17,Delivered,90.52
745,DTDC,TRK3885652715,2024-06-11,2024-06-16,2024-06-19,Delivered,97.12
746,DTDC,TRK5983541165,2022-11-15,2022-11-18,,Shipped,43.28
748,FedEx India,TRK9726347557,2022-09-18,2022-09-24,2022-09-27,Delivered,109.45
749,FedEx India,TRK5225013948,2024-04-08,2024-04-11,2024-04-12,Delivered,210.37
750,DTDC,TRK8488269131,2023-11-09,2023-11-14,2023-11-15,Delivered,168.74
751,BlueDart,TRK1964258562,2023-09-09,2023-09-16,2023-09-17,Delivered,101.67
753,Ekart,TRK6149915370,2022-03-01,2022-03-07,,Shipped,216.94
754,FedEx India,TRK3824073333,2023-11-17,2023-11-21,2023-11-23,Delivered,111.99
755,BlueDart,TRK7320430977,2022-04-01,2022-04-04,2022-04-03,Delivered,127.13
756,DTDC,TRK6889362896,2023-11-23,2023-11-29,2023-11-29,Delivered,96.89
758,Delhivery,TRK9645465535,2023-08-19,2023-08-24,2023-08-25,Delivered,162.87
759,FedEx India,TRK8512538921,2022-11-29,2022-12-02,2022-12-04,Delivered,189.44
761,FedEx India,TRK8785193583,2022-05-06,2022-05-10,,Shipped,128.74
762,BlueDart,TRK7490797796,2023-06-25,2023-07-01,2023-06-30,Delivered,184.24
763,DTDC,TRK1208780572,2023-08-10,2023-08-13,,Shipped,133.44
764,FedEx India,TRK1514940976,2023-05-14,2023-05-17,,Shipped,66.34
765,BlueDart,TRK2637484539,2022-10-24,2022-10-29,2022-10-31,Delivered,125.06
766,FedEx India,TRK8628950905,2023-10-04,2023-10-08,2023-10-07,Delivered,219.85
767,Ekart,TRK9119186233,2023-06-19,2023-06-26,,Shipped,99.19
768,Ekart,TRK9220715116,2024-06-24,2024-06-28,,Shipped,105.81
769,DTDC,TRK9666725214,2022-01-03,2022-01-10,2022-01-10,Delivered,174.38
771,DTDC,TRK5264712463,2022-02-17,2022-02-24,2022-02-26,Delivered,189.72
772,FedEx India,TRK3515718409,2022-01-15,2022-01-21,,Shipped,160.49
773,DTDC,TRK0805120800,2022-03-12,2022-03-16,2022-03-15,Delivered,232.84
774,DTDC,TRK5640995123,2022-01-09,2022-01-15,2022-01-16,Delivered,173.81
775,FedEx India,TRK9728351295,2023-08-07,2023-08-10,,Shipped,111.75
777,DTDC,TRK9272827090,2024-03-28,2024-03-31,2024-04-03,Delivered,221.71
780,BlueDart,TRK8144152982,2022-11-04,2022-11-11,2022-11-14,Delivered,98.29
781,DTDC,TRK1739295786,2022-01-22,2022-01-29,2022-01-28,Delivered,64.36
783,Ekart,TRK7181535237,2024-05-11,2024-05-14,2024-05-15,Delivered,235.94
784,FedEx India,TRK3605079181,2022-06-21,2022-06-27,2022-06-26,Delivered,243.25
786,DTDC,TRK5899886834,2023-12-31,2024-01-04,2024-01-03,Delivered,199.23
787,Ekart,TRK5273466661,2022-09-03,2022-09-08,2022-09-08,Delivered,193.61
788,Ekart,TRK7071587964,2022-07-01,2022-07-05,2022-07-08,Delivered,232.62
789,DTDC,TRK7408031499,2022-04-08,2022-04-12,2022-04-12,Delivered,144.38
790,BlueDart,TRK8250800463,2023-05-30,2023-06-06,2023-06-08,Delivered,136.28
791,Delhivery,TRK5806882850,2024-06-15,2024-06-22,2024-06-25,Delivered,226.34
793,BlueDart,TRK3172351373,2022-08-01,2022-08-05,,Shipped,76.24
794,FedEx India,TRK9900631403,2023-06-20,2023-06-23,2023-06-26,Delivered,213.95
795,FedEx India,TRK5263560229,2024-05-19,2024-05-23,2024-05-25,Delivered,141.44
796,DTDC,TRK3946943460,2022-02-18,2022-02-25,2022-02-27,Delivered,179.83
798,Ekart,TRK6664374906,2022-07-28,2022-07-31,2022-07-31,Delivered,153.64
799,Delhivery,TRK0723111271,2023-03-31,2023-04-04,,Shipped,155.36
800,Ekart,TRK2852464844,2022-05-01,2022-05-06,2022-05-08,Delivered,53.27
801,BlueDart,TRK9411631873,2022-08-02,2022-08-09,2022-08-09,Delivered,244.77
803,DTDC,TRK2807711306,2022-11-16,2022-11-20,,Shipped,183.4
804,Delhivery,TRK2113695727,2022-05-15,2022-05-22,2022-05-21,Delivered,133.87
805,FedEx India,TRK9083350902,2022-02-27,2022-03-06,2022-03-05,Delivered,150.82
806,DTDC,TRK5425730662,2023-09-02,2023-09-08,,Shipped,233.0
807,BlueDart,TRK4813235707,2023-01-03,2023-01-07,2023-01-07,Delivered,47.68
808,Ekart,TRK1398482285,2024-04-11,2024-04-18,2024-04-18,Delivered,97.32
810,DTDC,TRK0116880925,2022-11-17,2022-11-21,,Shipped,181.2
813,DTDC,TRK5021306090,2023-11-15,2023-11-20,2023-11-23,Delivered,132.45
814,BlueDart,TRK6913098107,2022-03-11,2022-03-15,2022-03-18,Delivered,126.07
815,DTDC,TRK9649673794,2022-06-26,2022-07-01,2022-07-02,Delivered,210.54
816,DTDC,TRK5772785324,2023-06-07,2023-06-13,2023-06-13,Delivered,129.68
817,FedEx India,TRK2642506420,2023-07-26,2023-07-31,,Shipped,58.86
818,FedEx India,TRK7683625366,2023-08-31,2023-09-04,2023-09-07,Delivered,61.62
819,BlueDart,TRK6777675556,2023-05-11,2023-05-17,2023-05-19,Delivered,161.25
820,Delhivery,TRK2833339395,2023-08-30,2023-09-03,2023-09-04,Delivered,110.11
821,Delhivery,TRK7865436271,2023-07-13,2023-07-16,,Shipped,79.04
823,Delhivery,TRK8749603358,2023-09-01,2023-09-08,2023-09-08,Delivered,52.25
